Run Number ,Disturbance Amount ,No Help Score ,No Help Opt Assign Score ,Score Difference ,No Help Re-plan Score ,Re-plan Count ,No Help Re-plan Opt Assign Score ,Re-plan Count ,Score Difference ,Help Score ,Help Opt Assign Score ,Score Difference ,Help Re-plan Score ,Re-plan Count ,Help Re-plan Opt Assign Score ,Re-plan Count ,Score Difference ,ResourceMAP Score ,ResourceMAP Opt Score 
0 ,0.0 ,13450 ,16560 ,3110 ,13450 ,6 ,16560 ,1 ,3110 ,20000 ,19810 ,-190 ,19840 ,4 ,19810 ,0 ,-30 ,13070 ,16270 
1 ,0.05 ,13580 ,17220 ,3640 ,13590 ,5 ,17220 ,1 ,3630 ,19160 ,19890 ,730 ,19230 ,5 ,19890 ,1 ,660 ,13650 ,16920 
2 ,0.1 ,14610 ,17260 ,2650 ,14750 ,6 ,17260 ,1 ,2510 ,19840 ,19840 ,0 ,19750 ,3 ,19840 ,0 ,90 ,15000 ,17540 
3 ,0.15000000000000002 ,13470 ,15340 ,1870 ,13680 ,7 ,15590 ,4 ,1910 ,19080 ,19070 ,-10 ,19330 ,6 ,19370 ,3 ,40 ,13980 ,14930 
4 ,0.2 ,14620 ,15880 ,1260 ,14970 ,5 ,16040 ,3 ,1070 ,19410 ,19660 ,250 ,19430 ,4 ,19660 ,2 ,230 ,15080 ,16420 
5 ,0.25 ,15470 ,15770 ,300 ,16100 ,5 ,15990 ,3 ,-110 ,19340 ,19710 ,370 ,19730 ,5 ,19590 ,3 ,-140 ,15370 ,16530 
6 ,0.30000000000000004 ,14160 ,14180 ,20 ,14680 ,9 ,14470 ,5 ,-210 ,19060 ,19290 ,230 ,19100 ,7 ,19690 ,5 ,590 ,14640 ,13970 
7 ,0.35000000000000003 ,12930 ,13380 ,450 ,13330 ,7 ,13570 ,5 ,240 ,18780 ,19410 ,630 ,19100 ,7 ,19440 ,4 ,340 ,13630 ,13640 
8 ,0.4 ,11620 ,13960 ,2340 ,12220 ,11 ,14470 ,7 ,2250 ,17560 ,19040 ,1480 ,18640 ,10 ,19320 ,6 ,680 ,12590 ,14540 
9 ,0.45 ,13110 ,12830 ,-280 ,13520 ,10 ,13030 ,6 ,-490 ,17730 ,18620 ,890 ,18640 ,8 ,18850 ,6 ,210 ,13410 ,13440 
